id	image_path	family	subject	object	positive_relation	positive_statement	negative_relation	negative_statement	internvl_judgment	internvl_raw	human_falsity
relsim_b1146567b4ad6df2a3dd2a39823192e3	/data/lht/relsim_dataset/relsim_images/b1146567b4ad6df2a3dd2a39823192e3.jpg	spatial	person	throne	sitting on	A person is sitting on a throne.	leaning on	A person is leaning on a throne.	no	No	不成立
relsim_08a1fc9303c91afe9537f9bac69b8e69	/data/lht/relsim_dataset/relsim_images/08a1fc9303c91afe9537f9bac69b8e69.jpg	spatial	dog	chair	lying on	A dog is lying on a chair.	jumping from	A dog is jumping from a chair.	no	No	不成立
relsim_8cad1b73009c60090661c575c9f7bbc2	/data/lht/relsim_dataset/relsim_images/8cad1b73009c60090661c575c9f7bbc2.jpg	spatial	bus	sand	parked on	A bus is parked on a sand.	driving on	A bus is driving on a sand.	no	No	不成立
relsim_142c0fafcfa3022146b760867fad2cb2	/data/lht/relsim_dataset/relsim_images/142c0fafcfa3022146b760867fad2cb2.jpg	spatial	bird	camera	standing on	A bird is standing on a camera.	flying above	A bird is flying above a camera.	no	No	不成立
relsim_de376b250c3091570b6e7fe811710638	/data/lht/relsim_dataset/relsim_images/de376b250c3091570b6e7fe811710638.jpg	spatial	person	mirror	jumping over	A person is jumping over a mirror.	looking at	A person is looking at a mirror.	no	No	不成立
relsim_0e857bfe2b2012ae77f376d7fcf739e6	/data/lht/relsim_dataset/relsim_images/0e857bfe2b2012ae77f376d7fcf739e6.jpg	spatial	woman	man	looking at	A woman is looking at a man.	gesturing at	A woman is gesturing at a man.	no	No	不成立
relsim_0e1add6a0a9c2be36e9838f6d14fa132	/data/lht/relsim_dataset/relsim_images/0e1add6a0a9c2be36e9838f6d14fa132.jpg	spatial	whale	beach	flying over	A whale is flying over a beach.	swimming above	A whale is swimming above a beach.	no	No	不成立
relsim_ca05688e518e5b96f3a5e0b41d749efb	/data/lht/relsim_dataset/relsim_images/ca05688e518e5b96f3a5e0b41d749efb.jpg	spatial	cat	speaker	inside	A cat is inside a speaker.	sitting on	A cat is sitting on a speaker.	no	No	不成立
relsim_847a7a0b542a4e541c88beabbceef21a	/data/lht/relsim_dataset/relsim_images/847a7a0b542a4e541c88beabbceef21a.jpg	spatial	puppies	dresser	sitting on	A puppies is sitting on a dresser.	climbing on	A puppies is climbing on a dresser.	no	No	无法判断
relsim_6662de49e5f5a9fed69e7f9c82a52c6d	/data/lht/relsim_dataset/relsim_images/6662de49e5f5a9fed69e7f9c82a52c6d.jpg	spatial	parrot	fencer	perched on	A parrot is perched on a fencer.	looking at	A parrot is looking at a fencer.	no	No	不成立
