id	image_path	subject	relation	object	positive_statement	negative_relation	negative_statement	relation_freq_in_master	subject_ok	object_ok	positive_true	negative_false	only_relation_differs	statement_natural
relsim_8fba8e71fca2069883f5a71c04db224d	/data/lht/relsim_dataset/relsim_images/8fba8e71fca2069883f5a71c04db224d.jpg	spiral galaxy	contains	stars	A spiral galaxy is contains a stars.	reflecting	A spiral galaxy is reflecting a stars.	109						
relsim_bc4657bb4120681bb5ebcd90b6e4460e	/data/lht/relsim_dataset/relsim_images/bc4657bb4120681bb5ebcd90b6e4460e.jpg	horse	standing on	ground	A horse is standing on a ground.	gesturing	A horse is gesturing a ground.	150						
relsim_b80b7985a5650ef1f968be7021916d0b	/data/lht/relsim_dataset/relsim_images/b80b7985a5650ef1f968be7021916d0b.jpg	person	lying on	van	A person is lying on a van.	punching	A person is punching a van.	92						
relsim_10a292064672c299b1b5a72204ba4e59	/data/lht/relsim_dataset/relsim_images/10a292064672c299b1b5a72204ba4e59.jpg	Santa Claus	carrying	drum	A Santa Claus is carrying a drum.	floating on	A Santa Claus is floating on a drum.	74						
relsim_095016d67b3773a26fd9f28cf448f3d1	/data/lht/relsim_dataset/relsim_images/095016d67b3773a26fd9f28cf448f3d1.jpg	cat	wearing	hat	A cat is wearing a hat.	reaching for	A cat is reaching for a hat.	150						
relsim_b6e53bfa890a324dd25f33609d8964c4	/data/lht/relsim_dataset/relsim_images/b6e53bfa890a324dd25f33609d8964c4.jpg	person on rock	holding	hand of other person	A person on rock is holding a hand of other person.	carries	A person on rock is carries a hand of other person.	150						
relsim_1f38b4a6dd43496d421f198c745b0422	/data/lht/relsim_dataset/relsim_images/1f38b4a6dd43496d421f198c745b0422.jpg	woman	standing on	railroad track	A woman is standing on a railroad track.	carrying	A woman is carrying a railroad track.	150						
relsim_5cfd5f6e7efcbba4a7e2031a8c6b0d03	/data/lht/relsim_dataset/relsim_images/5cfd5f6e7efcbba4a7e2031a8c6b0d03.jpg	map of Africa	contains	country flags	A map of Africa is contains a country flags.	swimming under	A map of Africa is swimming under a country flags.	109						
relsim_86354f51997ba9fa4d21d0e067a04f1e	/data/lht/relsim_dataset/relsim_images/86354f51997ba9fa4d21d0e067a04f1e.jpg	dog	sitting on	bicycle	A dog is sitting on a bicycle.	flanking	A dog is flanking a bicycle.	150						
relsim_c10eaf024733c916dd15eb5b41e12016	/data/lht/relsim_dataset/relsim_images/c10eaf024733c916dd15eb5b41e12016.jpg	fox	standing on	ground	A fox is standing on a ground.	decorating	A fox is decorating a ground.	150						
relsim_40a56882c24543a5125fd2d59362b1d0	/data/lht/relsim_dataset/relsim_images/40a56882c24543a5125fd2d59362b1d0.jpg	girl	holding	dog	A girl is holding a dog.	casting a shadow of	A girl is casting a shadow of a dog.	150						
relsim_cee29e2437d8df0a2d131494f47ba87e	/data/lht/relsim_dataset/relsim_images/cee29e2437d8df0a2d131494f47ba87e.jpg	cup	contains	coffee	A cup is contains a coffee.	licking	A cup is licking a coffee.	109						
