id	image_path	family	subject	positive_relation	object	positive_statement	negative_relation	negative_statement	old_negative_statement	candidate_rank	pos_true	neg_natural	neg_plausible	neg_visually_false	needs_image	is_synonym	role_reversal	ambiguous	overall_clean	notes
relsim_d259ac08bcc9d429d52beb8d775e2ffb	/data/lht/relsim_dataset/relsim_images/d259ac08bcc9d429d52beb8d775e2ffb.jpg	spatial	teddy bear	resting on	table	A teddy bear is resting on a table.	attached to	A teddy bear is attached to a table.	A teddy bear is in front of a table.	1										
relsim_0e1add6a0a9c2be36e9838f6d14fa132	/data/lht/relsim_dataset/relsim_images/0e1add6a0a9c2be36e9838f6d14fa132.jpg	spatial	whale	flying over	beach	A whale is flying over a beach.	swimming above	A whale is swimming above a beach.	A whale is driving over a beach.	0										
relsim_83d7bc87990091d8ae5cac21a71da8b3	/data/lht/relsim_dataset/relsim_images/83d7bc87990091d8ae5cac21a71da8b3.jpg	spatial	dogs	standing in	trunk	A dogs is standing in a trunk.	lying in	A dogs is lying in a trunk.	A dogs is launching from a trunk.	1										
relsim_4029c39bc00749c34d72e00df25283e1	/data/lht/relsim_dataset/relsim_images/4029c39bc00749c34d72e00df25283e1.jpg	spatial	pencil	lies beside	drawing	A pencil is lies beside a drawing.	attached to	A pencil is attached to a drawing.	A pencil is extends from a drawing.	0										
relsim_ad1ebb3779f65364890249a06cdd4b9b	/data/lht/relsim_dataset/relsim_images/ad1ebb3779f65364890249a06cdd4b9b.jpg	spatial	Earth	over	moon	An Earth is over a moon.	behind	An Earth is behind a moon.	An Earth is holding hands with a moon.	0										
relsim_76b2bd42e251c2f891886fe8b66133d8	/data/lht/relsim_dataset/relsim_images/76b2bd42e251c2f891886fe8b66133d8.jpg	spatial	man on the left	standing in front of	painting	A man on the left is standing in front of a painting.	looking at	A man on the left is looking at a painting.	A man on the left is radiates from a painting.	1										
relsim_c18b0213a723cd67bea6075cb1662252	/data/lht/relsim_dataset/relsim_images/c18b0213a723cd67bea6075cb1662252.jpg	spatial	dog	in front of	starry night	A dog is in front of a starry night.	looking at	A dog is looking at a starry night.	A dog is leaves a starry night.	1										
relsim_0c691c62b09b701c28ce29cea5ce5244	/data/lht/relsim_dataset/relsim_images/0c691c62b09b701c28ce29cea5ce5244.jpg	spatial	cat	looking at	hummingbird	A cat is looking at a hummingbird.	chasing	A cat is chasing a hummingbird.	A cat is sliding down a hummingbird.	0										
relsim_a633cd285a258cba7525940c66128faa	/data/lht/relsim_dataset/relsim_images/a633cd285a258cba7525940c66128faa.jpg	spatial	raccoon	sitting next to	pencil	A raccoon is sitting next to a pencil.	looking at	A raccoon is looking at a pencil.	A raccoon is extends towards a pencil.	0										
relsim_142c0fafcfa3022146b760867fad2cb2	/data/lht/relsim_dataset/relsim_images/142c0fafcfa3022146b760867fad2cb2.jpg	spatial	bird	standing on	camera	A bird is standing on a camera.	flying above	A bird is flying above a camera.	A bird is escaping from a camera.	0										
